control_id,family,title,control_statement,owner_role,evidence_requirement,test_procedure,test_frequency,automation_feasibility,automation_label,automation_rationale,mapped_frameworks,mapping_count
SA-02,Secure Development,Application and dependency security testing,"Application code and third-party dependencies are tested for known vulnerability classes at defined pipeline stages, with severity-based thresholds that block release.",Product Security Lead,Pipeline configuration showing test stages and thresholds; scan results per build; suppression register with justification and expiry; dependency inventory with known-vulnerability status.,Confirm the pipeline enforces the threshold by inspecting a build that exceeded it. Review the suppression register for expired or unjustified entries. Confirm dependency scanning covers transitive dependencies.,Per build,5,Evidence generated and validated by machine with no human step,"Entirely automatable; the human work is threshold setting and suppression review, which is where the control actually fails.",N53 CSF SOC2 FEDRAMP ISO IEC62443 GDPR,13
SA-03,Secure Development,Product security postmarket obligations,"Products placed on regulated markets maintain a vulnerability disclosure path, postmarket monitoring of component vulnerabilities, and a documented process for assessing and communicating security updates over the supported lifetime.",Product Security Lead,Published disclosure policy and intake records; postmarket monitoring records linking SBOM components to vulnerability sources; update assessment decisions with clinical or operational risk input; customer communications.,Confirm the disclosure path is reachable and intake is triaged within the stated interval. Select one component vulnerability affecting a supported product and trace the assessment decision and customer communication.,Quarterly,3,Evidence extractable on demand; human assembles and attests scope,"SBOM-to-advisory matching automates; the safety and clinical risk assessment for each update cannot be, and it is the rate-limiting step.",N53 CSF SOC2 FEDRAMP ISO IEC62443,12
SA-04,Secure Development,Environment separation and non-production data,"Development, test and production environments are separated, and production regulated data is not used in non-production without approved de-identification.",Platform Engineering Lead,Environment architecture showing separation controls; data-provisioning procedure for non-production; de-identification method documentation; scan results for regulated data in non-production stores.,Run regulated-data discovery against non-production environments. Any positive result without an approved de-identification record is a finding and a potential notifiable event. Confirm developers cannot reach production data stores directly.,Quarterly,4,Evidence extracted by scheduled job; human reviews exceptions only,Discovery scanning and access-path testing automate; de-identification adequacy is a judgement requiring privacy input.,N53 CSF SOC2 HIPAA FEDRAMP ISO IEC62443 SOX GDPR,16
SR-01,Supply Chain,Vendor security assessment and tiering,"Third parties are tiered by the access and data they hold, assessed before onboarding at a depth matching their tier, and reassessed on a tier-based cadence.",Third-Party Risk Analyst,"Vendor register with tier, access type, data types and assessment dates; completed assessments with findings and dispositions; reassessment schedule and compliance against it.",Confirm tiering criteria are applied consistently by sampling ten vendors and re-deriving their tier. Confirm Tier-1 vendors were assessed before access was granted and reassessed on cadence. Confirm findings have dispositions.,Annual,2,Largely manual; automation limited to reminders and workflow state,Register and cadence tracking automate; assessment itself is analyst work and does not scale with automation.,N53 CSF SOC2 HIPAA FEDRAMP ISO IEC62443 CIP SOX GDPR,17
SR-02,Supply Chain,Contractual security requirements and flow-down,"Contracts with third parties handling enterprise or regulated data include security requirements, breach notification obligations, audit rights, and flow-down to subprocessors.",General Counsel,Executed agreements with the security schedule; processor agreements and business associate agreements where applicable; subprocessor registers; evidence of notification-clause review.,"Sample five contracts across tiers. Confirm the security schedule is attached and current, that breach notification intervals meet the enterprise's own regulatory clocks, and that a subprocessor list exists where required.",Annual,2,Largely manual; automation limited to reminders and workflow state,Contract metadata can be tracked; drafting and negotiation are legal work.,N53 CSF SOC2 HIPAA FEDRAMP ISO IEC62443 CIP SOX GDPR,17
SR-03,Supply Chain,Supplier component provenance,"Software and hardware components entering products or production systems are sourced from identified suppliers, with provenance recorded and component-level vulnerability monitoring in place.",Product Security Lead,Supplier list per component; ingested supplier SBOMs; provenance records in the artifact repository; monitoring configuration linking components to vulnerability feeds.,"Select three components in a shipped product. Confirm the supplier is identified, that an SBOM or equivalent component list was ingested, and that the component is under vulnerability monitoring.",Semi-annual,4,Evidence extracted by scheduled job; human reviews exceptions only,"Ingest and monitoring automate where suppliers provide machine-readable SBOMs; supplier non-participation is the binding constraint, not tooling.",N53 CSF SOC2 FEDRAMP ISO IEC62443 CIP,11
PR-01,Privacy,Records of processing and lawful basis,"Processing activities involving personal data are recorded with purpose, categories of data and subjects, recipients, transfers, retention and lawful basis, and kept current.",Data Protection Officer,Records of processing with all required elements; review records; transfer mechanism documentation; linkage from each record to the systems in the asset inventory.,"Select three processing activities and confirm the record matches actual system behaviour, including recipients and transfers. Confirm the record was reviewed within the period and that a lawful basis is stated for each purpose.",Annual,2,Largely manual; automation limited to reminders and workflow state,"Records can be partially derived from the data inventory, but purpose and lawful basis are legal determinations.",N53 CSF SOC2 HIPAA FEDRAMP ISO GDPR,13
PR-02,Privacy,Data subject rights fulfilment,"Requests from individuals to access, correct, delete, restrict or port their personal data are received, verified, actioned and answered within the statutory period, with the outcome recorded.",Data Protection Officer,"Request register with receipt, verification, action and response dates; response templates; evidence of fulfilment in source systems; records of refusals with the exemption relied upon.","Sample five requests including one refusal. Confirm identity verification occurred, the statutory clock was met, and the action was actually executed in the source systems rather than only recorded. Confirm refusals cite a valid exemption.",Quarterly,3,Evidence extractable on demand; human assembles and attests scope,Workflow and clock tracking automate; locating and actioning data across systems is manual wherever the data inventory is incomplete.,N53 CSF SOC2 HIPAA ISO GDPR,14
PR-03,Privacy,Data protection impact assessment,"Processing likely to result in high risk to individuals is assessed before it begins, with mitigations identified, residual risk recorded, and consultation escalated where required.",Data Protection Officer,Screening records showing which activities required an assessment and which did not; completed assessments with mitigations and residual risk; sign-off; consultation records where applicable.,Identify new or materially changed processing in the period. Confirm screening occurred for each and that assessments exist where the threshold was met. Confirm identified mitigations were implemented rather than only proposed.,Per project,2,Largely manual; automation limited to reminders and workflow state,Screening can be embedded in intake workflow; the assessment is legal and analytic work.,N53 CSF SOC2 HIPAA FEDRAMP ISO GDPR,10
OT-01,Operational Technology,Zone and conduit segmentation,"Industrial networks are divided into zones with defined security levels, and traffic between zones traverses conduits with explicitly enumerated, owned and reviewed allow rules.",OT Security Engineer,Zone and conduit model with assigned target security levels; firewall rule base with owner and justification per rule; rule review records; flow analysis showing actual traffic against permitted flows.,Compare the rule base against the zone model. Any any/any rule or rule without an owner is a finding. Sample permitted flows and confirm they are still required by the operating process.,Semi-annual,3,Evidence extractable on demand; human assembles and attests scope,Rule analysis automates; the zone model and the judgement that a flow is still required are engineering work with plant operations.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP,16
OT-02,Operational Technology,Industrial remote and vendor access,"Remote access to industrial systems, including vendor access, is brokered through a controlled path, enabled only for the duration of an approved activity, and recorded.",OT Security Engineer,Access request and approval records with time windows; jump host configuration; session recordings; vendor access register with contractual basis.,"Confirm no persistent vendor access path exists by enumerating inbound paths to the industrial zone. For three vendor activities, confirm an approval preceded access, the window matched, and a recording exists.",Quarterly,4,Evidence extracted by scheduled job; human reviews exceptions only,Path enumeration and session state automate; the approval and the operational coordination do not.,N53 CSF SOC2 FEDRAMP CMMC ISO IEC62443 CIP,15
OT-03,Operational Technology,Unsupported industrial system compensations,"Industrial systems that cannot be patched or cannot run standard protective agents are inventoried, isolated to an enumerated flow set, monitored, and covered by a time-bound, compensated acceptance.",OT Security Engineer,Inventory of unsupported systems with OS version and constraint reason; firewall policy restricting each system; monitoring configuration; current acceptance records with compensating controls and expiry.,"Confirm the inventory reconciles with the OT asset inventory. For each system, confirm the restricted flow set is enforced and that an unexpired acceptance exists. Confirm systems under a prescriptive regulatory patch regime are handled under that regime and not under enterprise acceptance.",Quarterly,3,Evidence extractable on demand; human assembles and attests scope,Inventory and policy state automate; the acceptance lifecycle and the regulatory carve-out are governance work.,N53 CSF SOC2 FEDRAMP ISO IEC62443 CIP,13
NW-01,Network,Boundary protection,"Enterprise network boundaries are defined, traffic crossing them is controlled by default-deny policy, and the externally reachable surface is enumerated and reconciled against intent.",Network Engineer,Boundary device configuration with default-deny evidence; external attack surface enumeration; reconciliation of discovered services against an approved exposure register.,Run external enumeration against the published address space. Compare discovered services to the approved exposure register. Any unregistered externally reachable service is a finding regardless of its vulnerability status.,Monthly,5,Evidence generated and validated by machine with no human step,External enumeration and configuration comparison are fully automatable and cheap; the approved exposure register is the human-maintained half.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP GDPR,15
NW-02,Network,Egress control and data movement monitoring,"Outbound traffic from environments holding regulated data is restricted to approved destinations and protocols, and bulk or anomalous data movement is detected.",Network Engineer,Egress policy configuration; approved destination register; detection rules for anomalous volume or destination; alert disposition records.,Attempt an outbound connection to an unapproved destination from a regulated environment and confirm the result. Review detections for bulk movement in the period and confirm each was dispositioned.,Quarterly,4,Evidence extracted by scheduled job; human reviews exceptions only,Policy enforcement and volumetric detection automate; defining 'approved destination' for a real business is the slow part.,N53 CSF SOC2 HIPAA FEDRAMP CMMC ISO IEC62443 CIP GDPR,18
